,container,first_date,first_location,first_status,last_date,last_location,last_status
50,GATU1325988,2019-04-09 16:50:00,CALLAO,Gate out empty,2019-05-11 06:00:00,HAMBURG,Vessel arrival
51,HLXU1295720,2019-04-10 12:34:00,CALLAO,Gate out empty,2019-04-30 23:01:00,GUAYAQUIL,Vessel arrival
52,HLXU8525240,2019-04-08 11:25:00,CALLAO,Gate out empty,2019-04-25 07:00:00,"NEW YORK, NY",Vessel arrival
53,HLBU2007966,2019-04-03 19:52:00,CALLAO,Gate out empty,2019-04-28 07:00:00,"OAKLAND, CA",Vessel arrival
54,TGHU6495394,2019-03-12 18:59:00,"MANZANILLO, COL (MX)",Gate out empty,2019-04-13 17:00:00,ILO,Vessel arrival
55,UACU5281818,2019-03-12 19:04:00,"MANZANILLO, COL (MX)",Gate out empty,2019-04-13 17:00:00,ILO,Vessel arrival
56,HLXU1043441,2019-02-19 22:36:00,SHANGHAI,Gate out empty,2019-04-12 08:00:00,MATARANI,Vessel arrival
57,HLXU1073256,2019-02-19 21:39:00,SHANGHAI,Gate out empty,2019-04-12 08:00:00,MATARANI,Vessel arrival
58,HLXU3173249,2019-02-19 21:32:00,SHANGHAI,Gate out empty,2019-04-12 08:00:00,MATARANI,Vessel arrival
59,HLXU3398970,2019-02-19 22:51:00,SHANGHAI,Gate out empty,2019-04-12 08:00:00,MATARANI,Vessel arrival
60,HLXU3552411,2019-02-19 21:54:00,SHANGHAI,Gate out empty,2019-04-12 08:00:00,MATARANI,Vessel arrival
61,TEMU1455057,2019-02-20 14:05:00,SHANGHAI,Gate out empty,2019-04-12 08:00:00,MATARANI,Vessel arrival
62,TEMU1846344,2019-02-19 21:37:00,SHANGHAI,Gate out empty,2019-04-12 08:00:00,MATARANI,Vessel arrival
