container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
HLXU3548643,7,2019-03-26 16:59:00,VALPARAISO,Gate out empty,2019-05-11 02:00:00,BARCELONA,Vessel arrival
TGHU1668007,7,2019-03-26 16:30:00,VALPARAISO,Gate out empty,2019-05-11 02:00:00,BARCELONA,Vessel arrival
UACU3390234,7,2019-03-26 16:29:00,VALPARAISO,Gate out empty,2019-05-11 02:00:00,BARCELONA,Vessel arrival
UACU3440187,8,2019-03-25 16:47:00,VALPARAISO,Gate out empty,2019-05-11 02:00:00,BARCELONA,Vessel arrival
HLBU9087325,5,2019-03-25 15:30:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
CLHU3568948,9,2019-03-22 02:50:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HAMU1055300,9,2019-03-22 02:50:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLBU1040131,9,2019-03-22 02:49:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLBU1111019,9,2019-03-22 02:49:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLBU1118060,9,2019-03-22 02:49:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLBU1502800,9,2019-03-22 02:49:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU1143590,9,2019-03-22 02:50:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU1284937,9,2019-03-22 04:05:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU3564900,9,2019-03-22 02:51:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
TEMU1609445,9,2019-03-22 02:51:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
UACU3396736,9,2019-03-22 02:50:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
UACU3513344,9,2019-03-22 02:49:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
UACU3694725,9,2019-03-22 02:49:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
UACU3695803,9,2019-03-22 02:50:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
UACU3698016,9,2019-03-22 02:50:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
